,job_name,company_name,job_description,key_skills,posted_date
0,Python,SuryaInformaticsSolutionsPvt.Ltd.,"JobDescription:POSITION:PythonDeveloperELIGIBILITY:FRESHERSYourRoleUnderstandrequirementsandparticipateinprojectroadmapdiscussionsinordertodesign,estimate,anddeliver...MoreDetailsKeySkills:python,webtechnologies,linux,mobile,mysql,angularjs,javascript","python,webtechnologies,linux,mobile,mysql,angularjs,javascript",Posted 1 day ago
1,Python,PureTechCodexPrivateLimited,"JobDescription:JobDescription:2to3YearsexperienceinPython.ExpertinPython,withknowledgeofatleastonePythonwebframeworkFlask,Djangoetc.Expertinserverprogramming.Go...MoreDetailsKeySkills:rest,python,database,django,debugging,mongodb","rest,python,database,django,debugging,mongodb",Posted few days ago
2,QAPython/PythonSDET,GeminiSolutions,"JobDescription:4YearsGurgaonB.TechRequiredSkills4yearsofsoftwarequalityassuranceexperienceExperienceoncreatingFrameworkForTestAutomation.GoodknowledgeofPythonScripting...MoreDetailsKeySkills:python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase","python,mobile,svn,nosql,pythonscripting,git,api,sqldatabase",Posted few days ago
3,PYTHONDEVELOPER/PYTHONENGINEER,Electrobrainmoderntechnologiespvtltd(MoreJobs),"JobDescription:Develop,test,andmaintainweb-basedapplicationstospecifieddesigns&standardsusingPython&frameworkslikeDjango.develop&implementmodernwebservicesusi...MoreDetailsKeySkills:CSS,HTML,Java,Sql,c++,Oracle","CSS,HTML,Java,Sql,c++,Oracle",Posted a month ago
4,"PythonDeveloper,PythonProgrammer",RESEARCHDEVELOPERS(MoreJobs),"JobDescription:Excellentunderstandingofmachinelearningtechniquesandalgorithms,suchask-NN,NaiveBayes,SVM,DecisionForests,etc.Experiencewithcommondatasciencetool...MoreDetailsKeySkills:python,research,pythonprogrammer,MachineLearning,PatternRecognition,ImageProcessing,DigitalImage,SignalProcessing,ElectronicCircuits,NetworkAnalysis","python,research,pythonprogrammer,MachineLearning,PatternRecognition,ImageProcessing,DigitalImage,SignalProcessing,ElectronicCircuits,NetworkAnalysis",Work from Home     Posted a month ago
5,PythonDeveloper,LAKSHHUMANRESOURCE,"JobDescription:Powai,MumbaiPythonDeveloperExperience:1to3yrsSkillsRequired:JobSummary:1.ShouldhaveextensiveknowledgeofPython,Djangoframeowrk,RESTAPIs.2.Shou...MoreDetailsKeySkills:rest,python,django,git","rest,python,django,git",Posted today
6,PythonDeveloper,HorizontalTalent,"JobDescription:Bachelor'sdegreeinComputerScience,ComputerEngineering,orrelatedfield.3-5yearsofexperienceasaPythonDeveloper.?ExpertknowledgeofPythonandrelatedframew...MoreDetailsKeySkills:python,c,postgresql","python,c,postgresql",Posted 1 day ago
7,PythonDeveloper,SEVENCONSULTANCY,"JobDescription:JOBDETAILSMin3yearexperienceinPythonapplicationsrelatedtodatamanagement.PostgresDBexperience3yearsSQLExperienceExperienceinmanagingimporting/exportinglar...MoreDetailsKeySkills:python,mvc,sql","python,mvc,sql",Posted 4 days ago
8,PythonDeveloper,FresherMart,"JobDescription:BuildWebCrawlersandWebScrapingtoolsWorkonOCRApplicationsBuildapplicationsusingPythonDjangoFrameworkSkillsKnowledgeonPythonCandidateshouldhaveacertificat...MoreDetailsKeySkills:python,django,DjangoFramework","python,django,DjangoFramework",Posted 4 days ago
9,PythonDeveloper,IvanInfotechPvt.Ltd.,"JobDescription:WearelookingforaPythonDevelopertojoinourdevelopmentteam.PythonDeveloperresponsibilitiesincludewritingandtestingcode,debuggingprogramsandintegratingap...MoreDetailsKeySkills:rest,python,security,debugging","rest,python,security,debugging",Posted 5 days ago
10,PythonDeveloper,SEVENCONSULTANCY,"JobDescription:JOBDETAILS1.UnderstandfundamentaldesignprinciplesandbestpracticesfordevelopingRESTAPIsandwebapplications2.Gatherrequirements,scopefunctionality,estimate...MoreDetailsKeySkills:rest,python,storage","rest,python,storage",Posted 5 days ago
11,PythonDeveloper,AnanthaCyberTechPvtLimited,"JobDescription:JobtitleOpeningsforPythonDeveloperDesignationPythonDeveloperDescriptionRequiredSkills:#StrongWorkingExperiencePythonDevelopment.#GoodExperienceinCORC...MoreDetailsKeySkills:python,c,c,informationtechnology","python,c,c,informationtechnology",Posted today
12,PythonDeveloper,Gibots,"JobDescription:PythonDeveloperExp:1-2yearsPuneJobDescription:Writereusable,testable,andefficientcodeDesignandimplementoflow-latency,high-availability,andperformanceap...MoreDetailsKeySkills:python,elementsdeveloped,performanceapplications","python,elementsdeveloped,performanceapplications",Posted today
13,Pythondeveloper,spmhrsolutions,"JobDescription:JobDescriptionRolesandResponsibilitiesNumericalmodellingorDataScienceproject18monthsUnderstandingonDataSciencepackagesorfunctionsAnyDataenvironmentexperienc...MoreDetailsKeySkills:python,sql,mysql,hadoop","python,sql,mysql,hadoop",Posted 6 days ago
14,PythonDeveloper,TECHNOPARKTRIVANDRUM,"JobDescription:Briefdescription:1to2yearsofexperienceinPythondevelopmentGoodatdebugging,optimization,performancetuning,addressingproductionissuesVerystronginobject...MoreDetailsKeySkills:python,debugging,problemsolving,sql","python,debugging,problemsolving,sql",Posted 1 day ago
15,PythonDeveloper,TandAHRSolutions,"JobDescription:HiringforPythonDeveloperforFemalesinMNCCompanyforMohalilocationProfilePythonDeveloperExperience3to5yearsLocationMohaliGenderPreferenceFemaleQualificati...MoreDetailsKeySkills:Djangoframework,PythonDeveloper,corepython","Djangoframework,PythonDeveloper,corepython",Posted few days ago
16,PythonEngineer,eastindiasecuritiesltd.,"JobDescription:job_description2yearsofexperienceworkingwithpythonStronganalyticalskillsAbilitytochurnscriptingsolutionswithaquickturnaroundtimeInclinationto...MoreDetailsKeySkills:python,hadoop,machinelearning","python,hadoop,machinelearning",Posted few days ago
17,PythonDeveloper,YMGlobalTechnologiesPteLtd,"JobDescription:pythondevelopmentexperience,codethatisproductionqualityandfollowingbestpracticesanddesignpatternsDevopsexperience,preferablywithJenkinsContainertechn...MoreDetailsKeySkills:python,apache,machinelearning","python,apache,machinelearning",Posted few days ago
18,PythonDeveloper,BoschLtd,"JobDescription:RobertBoschEngineeringandBusinessSolutionsPrivateLimitedisa100PERCENTownedsubsidiaryofRobertBoschGmbH,oneoftheworld'sleadingglobalsupplieroftechno...MoreDetailsKeySkills:python,rdbms,git,linux,hdfs","python,rdbms,git,linux,hdfs",Posted 4 days ago
19,Pythondeveloper,PRATHIGNABUILDTECHPRIVATELIMITED,"JobDescription:Pythondeveloper3Years-8MonthsJobDescriptionRole:PythondeveloperExperience:3to8yrsSkills:Pythondeveloper,Django,HTML,DjangoFrameworkJobDescription:St...MoreDetailsKeySkills:fundamentals,python,django,oops,html","fundamentals,python,django,oops,html",Posted 4 days ago
20,PythonDeveloper,TEAMPLUSSTAFFINGSOLUTIONPVT.LTD.,"JobDescription:IndustryITPreviousWorkExperience6-9YRSSalaryAsPerIndustryJobFunctionTechnologySkill4yearsofPythonscripting-needframeworkdevelopmentexperience(3/5)3y...MoreDetailsKeySkills:python,pythonscripting,shellscripting,unix","python,pythonscripting,shellscripting,unix",Posted few days ago
21,PythonDeveloper,systango,"JobDescription:JobDescriptionDevelopaweb-basedapplicationusingPython,Django,JavaScriptDesign,document,implementandprovideleadershiponalargecorepartofthemanageme...MoreDetailsKeySkills:python,django,javascript,webprogramming","python,django,javascript,webprogramming",Posted 5 days ago
22,PythonDeveloper,goldeneagleittechnologiespvtltd,"JobDescription:GEITPLislookingforPythonDeveloperPleasefindbelowtheJD-1-4yearsAmbitious,hardworkingandself-motivatedoptimisticindividualEagertolearndiverseopensource...MoreDetailsKeySkills:memorymanagement,python,django,oops","memorymanagement,python,django,oops",Posted 5 days ago
23,PythonDeveloper,RANGAMINFOTECHPVT.LTD.,"JobDescription:JobDescriptionPrimarySkillSet:PythonDeveloperwithRDBMSDBintegration&SQLexperienceFullStackincludingAngularUI,JAVABackendincludingSpringBoot,GradleGoo...MoreDetailsKeySkills:python,rdbms,sql,gradle,java,sqldatabase","python,rdbms,sql,gradle,java,sqldatabase",Posted today
24,PythonDeveloper,METADESIGNSOLUTIONS,"JobDescription:PythonDeveloperExperience:2-5yearsNoofOpenings:2Location:GurgaonJobDescription:ExpertinPython,withknowledgeofatleastonePythonwebframework(suchasDja...MoreDetailsKeySkills:python,django,html5,javascript","python,django,html5,javascript",Posted 6 days ago
